,precision,recall,f1-score,support
buildings,0.7067395264116576,0.8878718535469108,0.7870182555780934,437.0
forest,0.9660297239915074,0.959915611814346,0.9629629629629629,474.0
glacier,0.8387096774193549,0.7522603978300181,0.7931363203050524,553.0
mountain,0.8217213114754098,0.7638095238095238,0.7917077986179665,525.0
sea,0.8349900596421471,0.8235294117647058,0.8292201382033564,510.0
street,0.8580121703853956,0.844311377245509,0.8511066398390342,501.0
accuracy,0.8343333333333334,0.8343333333333334,0.8343333333333334,0.8343333333333334
macro avg,0.8377004115542453,0.8386163626685023,0.8358586859177443,3000.0
weighted avg,0.8392208100439802,0.8343333333333334,0.8346430328594218,3000.0
